Program_Name,Organization_Name,Description_of_Progam,Link,Type,Educationa_Level,Student_criteria,Field_of_Study,Skills_preferred,Location,Timezone,Mode_of_Participation,Program_Duration,Deadline,Tuition_or_Fees,Stipend,Keywords,Tags
Princeton Laboratory learning Program,Princeton University,"Science Outreach was created in 2022 to facilitate mutually beneficial and sustainable relationships between Princeton University Science educators and researchers on the one hand, and local K-12 school districts, non-profit organizations, and community stakeholders on the other. Science Outreach serves as a nexus connecting faculty, students, and postdocs with youth, schoolteachers, nonprofit organizations, and the broader community with the goals of increasing engagement, participation, equity, and inclusion in STEM fields.",https://scienceoutreach.princeton.edu/laboratory-learning-program,Summer Program,High School,,STEM,Research,Princeton University,1,In-person,Early Jul - Late Jul ( ≈ 1 month(s)),Mar/15/2024,Free,Not available,"Internship, Research Program, Mentorship, Skill Development, In-Person, Project-Based, High School","Stem, Research"
Princeton Summer Journalism Program,Princeton University,"The Princeton Summer Journalism Program (PSJP), which is housed in the Emma Bloomberg Center for Access and Opportunity at Princeton University,(Link is external) (Link opens in new window) is the only program of its kind offering a Free, year-long college preparation and journalism program for high school juniors from limited-income backgrounds. Our mission is to diversify the fields that impact our democracy through the exploration of the important connection between journalism and critical social and political events. Every May, we admit up to 40 students from across the country, who commit to completing a rigorous summer intensive during the summer after their junior year and working with a dedicated college adviser on their college application and selection process through the end of their senior year.",https://psjp.princeton.edu/about-program/program,Summer Program,High School,,Journalism,Interest in journalism,"Hybrid (Virtual in July, Princeton University)",1,Hybrid,Early Jul - Early Aug ( ≈ 1 month(s)),Feb/15/2024,Free,Not available,"Workshop, High School, Hybrid, Career Advancement",Journalism
Princeton University Preparatory Program,Princeton University,"The Princeton University Preparatory Program (PUPP) is a great opportunity for low-income high school students, offering a year-round initiative that goes beyond traditional academic enrichment. The program is designed to provide you with a comprehensive set of skills, focusing on collaboration, presentation, listening, and debating skills. During the school year, you will engage in weekly enrichment sessions, creating a supportive environment that empowers you to develop both academically and personally.",https://pupp.princeton.edu/about/,Summer Program,High School,,,"Collaboration, Presentation, Listening, Debating",Princeton University,1,In-person,,March 20 - June 20,Free,Not available,"High School, Inclusion, Diversity, In-Person",STEM
Princeton Plasma Physics Laboratory High School Summer Internship,Princeton Plasma Physics Laboratory (PPPL),"The Princeton Plasma Physics Laboratory (PPPL) High School Summer Internship is a great opportunity for students with a keen interest in plasma physics and fusion energy. Interns are given the opportunity to apply their theoretical knowledge to real-world scenarios, gaining valuable insights into the practical aspects of their academic interests.",https://www.pppl.gov/high-school-summer-internship,Internship,High School,(or younger in rare cases),Physics,"Physics, Chemistry, Advanced mathematics, Engineering, Coding (Python, Java), Computer-aided design (CAD) (SolidWorks, AutoCAD)",Princeton University,1,in-person,Early Jun - Late Aug ( ≈ 3 month(s)),Mar/1/2024,Free,Not available,"Research Program, Internship, In-person, High School",Physics
Program in Algorithmic and Combinatorial Thinking (PACT),Princeton University,"Explores discrete mathematics, algorithmic principles, combinatorics, and probability.",https://algorithmicthinking.org/,Summer Program,High School,,Computer Science,Strong mathematical foundation is likely preferred.,Princeton University,1,In-person,Late Jun - Late Jul ( ≈ 1 month(s)),Winter 2023 (might vary),"$1,850",Not available,"Workshop, Summer Camp,","STEM, Mathematics, Computer Science"
W.E.B DuBois Scholars Institute,Princeton University,"Intensive five-week summer program offering three academic academies: Engineering, Leadership, and Pre-Med/Biological Sciences.",https://duboisscholars.org/admissions/criteria-eligibility.html,Summer Program,High School,,"Engineering, Leadership, Pre-Med/Biological Sciences","Strong academic performance, interest in chosen academy",Princeton University,1,In-person,,Mar/10/2024,"$2,600",Not available,"High School, Inclusion, Diversity, In-Person, Workshop","STEM, Medical"
The James Madison Seminar on the Principles of American Constitutionalism,Princeton University,Explore fundamental questions surrounding equality and liberty in American political life through analysis of primary sources.,https://jmp.princeton.edu/academic-initiatives/summer-programs,Summer Program,High School,(Juniors & Seniors),"Political Science, History, Government","Strong reading comprehension, critical thinking, interest in politics and history","Chauncey Conference Center, Princeton University",1,In-person,Early Jul - Mid Jul ( ≈ 1 week(s)),Feb/25/2024,$250,Not available,"High School, Inclusion, Diversity, In-Person, Workshop",Humanities
MITES,Massachusetts Institute of Technology (MIT),Rigorous six-week residential summer program introducing high school seniors to engineering and science.,https://mites.mit.edu/,Summer Program,High School,,"Engineering, Science","Strong math and science background, interest in research, leadership potential","Massachusetts Institute of Technology, Cambridge, MA",1,In-person,Early Jun - Early Dec ( ≈ 6 month(s)),Feb/1/2024,Free,Not available,"Research Program, Diversity, High School , In-person","STEM, Research"
Research Science Institute,Center for Excellence in Education (CEE),Intensive six-week residential summer program for high school juniors to conduct independent research in STEM fields.,https://www.cee.org/programs/research-science-institute,Summer Program,High School,,STEM,"Exceptional academic record, strong interest in research, leadership potential","Massachusetts Institute of Technology (MIT), Cambridge, MA",1,In-person,Late Jun - Early Aug ( ≈ 1 month(s)),Dec/13/2024,Free,Not available,"Research Program, In-Person, High School, Skill Development","STEM, Research, Physics, Biology, Chemistry"
Beaver Works Summer Institute (BWSI),Massachusetts Institute of Technology (MIT) Lincoln Laboratory,"Intensive four-week summer program for rising high school seniors focusing on STEM skills through project-based, workshop-style courses.",https://beaverworks.ll.mit.edu/CMS/bw/bwsi,Summer Program,High School,,STEM,"Strong interest in STEM, problem-solving, teamwork, programming (for some courses)","Massachusetts Institute of Technology (MIT), Cambridge, MA (in-person)",1,In-person,,Mar/31/2024,Varied,Available,"In-Person, Summer Program, High School",STEM
LLCipher,Massachusetts Institute of Technology (MIT) Lincoln Laboratory,One-week summer workshop introducing high school students to theoretical cryptography.,https://www.ll.mit.edu/outreach/llcipher,Workshop,High School,,"Mathematics, Computer Science, Cybersecurity","Strong math background, interest in cybersecurity","MIT Lincoln Laboratory, Cambridge, MA",1,In-person,,Apr/14/2024,Free,Not available,"Workshop, In-person, High School","STEM, Mathematics"
Summer Academy for Mathematics and Science,"Carnegie Mellon University, School of Computer Science",Intensive residential program focusing on STEM education for underrepresented students.,https://www.cmu.edu/pre-college/academic-programs/sams.html,Summer Program,High School,,"Mathematics, Science, Engineering","Strong math and science background, interest in STEM careers",Carnegie Mellon University Campus,1,In-person,Early Jun - Late Jul ( ≈ 2 month(s)),Mar/15/2024,Free,Not available,"Workshop, In-person, High School","STEM, Mathematics"
Leap@CMU,"Carnegie Mellon University, School of Computer Science",Intensive summer program focusing on computer science fundamentals for high school students.,https://www.cs.cmu.edu/~leap/,Summer Program,High School,,Computer Science,"Strong math skills, interest in computer science, problem-solving","Carnegie Mellon University, Pittsburgh, PA",1,In-person,Early Jun - Late Aug ( ≈ 3 month(s)),Mar/1/2024,"$2,400",Available,"Workshop, In-person, High School","STEM, Computer Science"
